num_Windows,parallelism,win_Size,ctxid,operatorID,instanceID,window_Start,local_End,window_End
3,20,42,0,7,13,1490863771285,1490863771336,1490863771787
3,20,42,0,7,0,1490863771237,1490863771311,1490863771738
3,20,42,0,7,1,1490863771239,1490863771304,1490863771738
3,20,42,0,7,3,1490863771239,1490863771296,1490863771739
3,20,42,0,7,2,1490863771239,1490863771311,1490863771739
3,20,42,0,7,10,1490863771402,1490863771473,1490863771793
3,20,42,0,7,12,1490863771284,1490863771341,1490863771787
3,20,42,0,7,11,1490863771301,1490863771369,1490863771793
3,20,42,0,7,15,1490863771286,1490863771346,1490863771788
3,20,42,0,7,8,1490863771305,1490863771378,1490863771796
3,20,42,0,7,14,1490863771285,1490863771330,1490863771788
3,20,42,0,7,9,1490863771341,1490863771404,1490863771793
3,20,42,0,7,19,1490863771288,1490863771351,1490863771790
3,20,42,0,7,16,1490863771287,1490863771357,1490863771789
3,20,42,0,7,17,1490863771289,1490863771365,1490863771789
3,20,42,0,7,18,1490863771288,1490863771357,1490863771790
3,20,42,0,7,6,1490863771374,1490863771496,1490863771798
3,20,42,0,7,7,1490863771414,1490863771567,1490863771935
3,20,42,0,7,4,1490863771370,1490863771542,1490863771942
3,20,42,1,7,8,1490863771384,1490863771441,1490863771997
3,20,42,1,7,11,1490863771374,1490863771424,1490863771998
3,20,42,1,7,15,1490863771349,1490863771406,1490863771993
3,20,42,1,7,9,1490863771408,1490863771463,1490863772001
3,20,42,1,7,14,1490863771332,1490863771371,1490863771998
3,20,42,1,7,13,1490863771338,1490863771388,1490863772009
3,20,42,1,7,3,1490863771299,1490863771351,1490863771968
3,20,42,1,7,2,1490863771316,1490863771375,1490863771969
3,20,42,1,7,0,1490863771314,1490863771374,1490863771972
3,20,42,1,7,12,1490863771344,1490863771396,1490863772031
3,20,42,1,7,1,1490863771309,1490863771363,1490863771994
3,20,42,1,7,10,1490863771512,1490863771551,1490863772072
3,20,42,0,7,5,1490863771485,1490863771615,1490863772123
3,20,42,2,7,8,1490863771461,1490863771510,1490863772194
3,20,42,2,7,9,1490863771484,1490863771533,1490863772196
3,20,42,2,7,11,1490863771428,1490863771485,1490863772205
3,20,42,2,7,10,1490863771556,1490863771580,1490863772212
3,20,42,2,7,13,1490863771390,1490863771460,1490863772209
3,20,42,2,7,14,1490863771373,1490863771421,1490863772227
3,20,42,1,7,16,1490863771361,1490863771432,1490863772229
3,20,42,2,7,1,1490863771366,1490863771417,1490863772184
3,20,42,2,7,3,1490863771354,1490863771400,1490863772192
3,20,42,2,7,15,1490863771409,1490863771472,1490863772253
3,20,42,2,7,2,1490863771378,1490863771432,1490863772205
3,20,42,2,7,0,1490863771377,1490863771433,1490863772210
3,20,42,1,7,17,1490863771369,1490863771439,1490863772249
3,20,42,1,7,19,1490863771355,1490863771415,1490863772337
3,20,42,2,7,12,1490863771399,1490863771454,1490863772351
3,20,42,1,7,18,1490863771361,1490863771418,1490863772352
3,20,42,2,7,16,1490863771436,1490863771493,1490863772352
3,20,42,1,7,6,1490863771692,1490863771734,1490863772358
3,20,42,2,7,17,1490863771442,1490863771505,1490863772443
3,20,42,2,7,18,1490863771422,1490863771483,1490863772458
3,20,42,1,7,7,1490863771761,1490863771806,1490863772475
3,20,42,2,7,6,1490863771750,1490863771795,1490863772509
3,20,42,1,7,4,1490863771733,1490863771781,1490863772578
3,20,42,2,7,19,1490863771420,1490863771495,1490863772591
3,20,42,2,7,7,1490863771852,1490863771935,1490863772631
3,20,42,2,7,4,1490863771813,1490863771919,1490863772707
3,20,42,1,7,5,1490863771833,1490863771947,1490863772793
3,20,42,0,7,8,1490863771796,1490863771929,1490863773049
3,20,42,0,7,11,1490863771794,1490863771926,1490863773050
3,20,42,0,7,13,1490863771794,1490863771901,1490863773044
3,20,42,0,7,14,1490863771789,1490863771879,1490863773044
3,20,42,0,7,15,1490863771789,1490863771879,1490863773045
3,20,42,0,7,16,1490863771791,1490863772217,1490863773049
3,20,42,0,7,0,1490863771740,1490863771897,1490863772997
3,20,42,0,7,9,1490863771800,1490863771926,1490863773060
3,20,42,0,7,1,1490863771740,1490863771908,1490863773054
3,20,42,0,7,2,1490863771740,1490863771900,1490863773104
3,20,42,2,7,5,1490863771992,1490863772068,1490863773158
3,20,42,0,7,6,1490863771799,1490863772321,1490863773205
3,20,42,0,7,3,1490863771740,1490863771900,1490863773163
3,20,42,0,7,12,1490863771789,1490863771922,1490863773224
3,20,42,0,7,18,1490863771791,1490863772308,1490863773253
3,20,42,0,7,4,1490863771942,1490863772355,1490863773274
3,20,42,0,7,17,1490863771791,1490863772224,1490863773292
3,20,42,0,7,7,1490863771949,1490863772331,1490863773312
3,20,42,0,7,19,1490863771791,1490863772229,1490863773332
3,20,42,0,7,10,1490863771795,1490863771955,1490863773392
3,20,42,1,7,9,1490863772001,1490863772015,1490863773754
3,20,42,1,7,8,1490863771997,1490863772026,1490863773754
3,20,42,1,7,0,1490863771972,1490863772032,1490863773700
3,20,42,1,7,11,1490863771998,1490863772014,1490863773754
3,20,42,1,7,1,1490863771994,1490863772014,1490863773701
3,20,42,1,7,3,1490863771968,1490863771989,1490863773701
3,20,42,1,7,4,1490863772578,1490863772611,1490863773745
3,20,42,1,7,15,1490863771994,1490863772026,1490863773750
3,20,42,1,7,6,1490863772358,1490863772433,1490863773745
3,20,42,1,7,14,1490863771998,1490863772017,1490863773751
3,20,42,1,7,7,1490863772475,1490863772501,1490863773747
3,20,42,1,7,13,1490863772010,1490863772035,1490863773751
3,20,42,1,7,16,1490863772230,1490863772314,1490863773753
3,20,42,1,7,17,1490863772312,1490863772384,1490863773765
3,20,42,1,7,2,1490863771970,1490863771994,1490863773731
3,20,42,1,7,12,1490863772034,1490863772063,1490863773795
3,20,42,1,7,19,1490863772337,1490863772429,1490863774151
3,20,42,1,7,18,1490863772352,1490863772408,1490863774217
3,20,42,1,7,10,1490863772072,1490863772095,1490863774279
3,20,42,0,7,5,1490863772123,1490863772419,1490863774280
3,20,42,2,7,12,1490863772351,1490863772380,1490863774351
3,20,42,2,7,8,1490863772194,1490863772207,1490863774356
3,20,42,2,7,13,1490863772209,1490863772222,1490863774351
3,20,42,2,7,17,1490863772444,1490863772484,1490863774353
3,20,42,2,7,11,1490863772205,1490863772217,1490863774356
3,20,42,2,7,14,1490863772227,1490863772240,1490863774351
3,20,42,2,7,9,1490863772196,1490863772214,1490863774356
3,20,42,2,7,16,1490863772352,1490863772430,1490863774355
3,20,42,2,7,15,1490863772254,1490863772279,1490863774353
3,20,42,2,7,4,1490863772709,1490863772729,1490863774368
3,20,42,2,7,6,1490863772515,1490863772555,1490863774372
3,20,42,2,7,7,1490863772631,1490863772666,1490863774373
3,20,42,2,7,0,1490863772211,1490863772228,1490863774352
3,20,42,2,7,3,1490863772194,1490863772224,1490863774358
3,20,42,2,7,2,1490863772205,1490863772244,1490863774388
3,20,42,2,7,1,1490863772184,1490863772211,1490863774390
3,20,42,2,7,19,1490863772592,1490863772618,1490863774583
3,20,42,2,7,18,1490863772458,1490863772487,1490863774693
3,20,42,2,7,10,1490863772212,1490863772235,1490863774967
3,20,42,1,7,5,1490863772793,1490863772835,1490863775212
3,20,42,0,7,9,1490863773061,1490863773095,1490863775296
3,20,42,0,7,8,1490863773050,1490863773075,1490863775297
3,20,42,0,7,11,1490863773052,1490863773153,1490863775297
3,20,42,0,7,4,1490863773274,1490863773301,1490863775287
3,20,42,0,7,7,1490863773313,1490863773334,1490863775287
3,20,42,0,7,0,1490863772997,1490863773021,1490863775243
3,20,42,0,7,6,1490863773205,1490863773222,1490863775289
3,20,42,0,7,17,1490863773292,1490863773315,1490863775294
3,20,42,0,7,18,1490863773254,1490863773289,1490863775295
3,20,42,0,7,13,1490863773044,1490863773103,1490863775293
3,20,42,0,7,16,1490863773049,1490863773097,1490863775296
3,20,42,0,7,14,1490863773045,1490863773070,1490863775293
3,20,42,0,7,1,1490863773054,1490863773095,1490863775256
3,20,42,0,7,15,1490863773045,1490863773093,1490863775294
3,20,42,0,7,19,1490863773335,1490863773359,1490863775322
3,20,42,0,7,3,1490863773163,1490863773190,1490863775272
3,20,42,0,7,12,1490863773224,1490863773247,1490863775295
3,20,42,0,7,10,1490863773392,1490863773415,1490863775331
3,20,42,0,7,2,1490863773104,1490863773136,1490863775312
3,20,42,1,7,8,1490863773754,1490863773763,1490863776072
3,20,42,1,7,6,1490863773745,1490863773789,1490863776062
3,20,42,1,7,4,1490863773745,1490863773771,1490863776062
3,20,42,1,7,14,1490863773751,1490863773759,1490863776066
3,20,42,1,7,13,1490863773751,1490863773763,1490863776066
3,20,42,1,7,7,1490863773748,1490863773784,1490863776062
3,20,42,1,7,15,1490863773751,1490863773767,1490863776067
3,20,42,1,7,0,1490863773700,1490863773713,1490863776018
3,20,42,1,7,12,1490863773795,1490863773811,1490863776067
3,20,42,1,7,1,1490863773701,1490863773716,1490863776018
3,20,42,1,7,2,1490863773731,1490863773750,1490863776019
3,20,42,1,7,3,1490863773702,1490863773728,1490863776019
3,20,42,1,7,9,1490863773754,1490863773763,1490863776077
3,20,42,1,7,11,1490863773754,1490863773762,1490863776077
3,20,42,1,7,17,1490863773765,1490863773773,1490863776068
3,20,42,1,7,16,1490863773758,1490863773790,1490863776068
3,20,42,1,7,19,1490863774152,1490863774166,1490863776069
3,20,42,1,7,18,1490863774217,1490863774232,1490863776069
3,20,42,2,7,5,1490863773159,1490863773204,1490863776141
3,20,42,1,7,10,1490863774279,1490863774297,1490863776151
3,20,42,2,7,9,1490863774356,1490863774366,1490863776775
3,20,42,2,7,8,1490863774356,1490863774366,1490863776775
3,20,42,2,7,11,1490863774356,1490863774366,1490863776776
3,20,42,2,7,6,1490863774372,1490863774395,1490863776765
3,20,42,2,7,13,1490863774351,1490863774371,1490863776770
3,20,42,2,7,17,1490863774353,1490863774367,1490863776772
3,20,42,2,7,14,1490863774351,1490863774380,1490863776771
3,20,42,2,7,4,1490863774368,1490863774377,1490863776765
3,20,42,2,7,15,1490863774355,1490863774372,1490863776771
3,20,42,2,7,12,1490863774351,1490863774383,1490863776771
3,20,42,2,7,18,1490863774693,1490863774707,1490863776773
3,20,42,2,7,19,1490863774583,1490863774597,1490863776773
3,20,42,2,7,16,1490863774356,1490863774368,1490863776775
3,20,42,2,7,10,1490863774968,1490863774988,1490863776810
3,20,42,2,7,0,1490863774352,1490863774367,1490863776722
3,20,42,2,7,3,1490863774359,1490863774371,1490863776722
3,20,42,2,7,1,1490863774390,1490863774403,1490863776723
3,20,42,2,7,2,1490863774389,1490863774414,1490863776723
3,20,42,2,7,7,1490863774373,1490863774387,1490863776825
3,20,42,0,7,5,1490863774280,1490863774298,1490863776906
3,20,42,0,7,6,1490863775290,1490863775300,1490863777569
3,20,42,0,7,11,1490863775297,1490863775314,1490863777579
3,20,42,0,7,9,1490863775298,1490863775329,1490863777579
3,20,42,0,7,16,1490863775296,1490863775303,1490863777575
3,20,42,0,7,17,1490863775294,1490863775303,1490863777575
3,20,42,0,7,13,1490863775293,1490863775301,1490863777574
3,20,42,0,7,7,1490863775288,1490863775309,1490863777570
3,20,42,0,7,14,1490863775293,1490863775303,1490863777574
3,20,42,0,7,15,1490863775294,1490863775549,1490863777574
3,20,42,0,7,0,1490863775244,1490863775254,1490863777526
3,20,42,0,7,19,1490863775322,1490863775333,1490863777577
3,20,42,0,7,1,1490863775256,1490863775268,1490863777527
3,20,42,0,7,2,1490863775312,1490863775328,1490863777527
3,20,42,0,7,18,1490863775295,1490863775307,1490863777578
3,20,42,0,7,12,1490863775295,1490863775544,1490863777576
