num_Windows,parallelism,win_Size,ctxid,operatorID,instanceID,window_Start,local_End,window_End
4,4,1,0,7,1,1490279159503,1490279159509,1490279159660
4,4,1,0,7,3,1490279159506,1490279159509,1490279159661
4,4,1,0,7,2,1490279159504,1490279159509,1490279159660
4,4,1,0,7,0,1490279159505,1490279159509,1490279159661
4,4,1,1,7,1,1490279159509,1490279159509,1490279159662
4,4,1,1,7,2,1490279159509,1490279159509,1490279159662
4,4,1,1,7,0,1490279159509,1490279159510,1490279159663
4,4,1,2,7,1,1490279159510,1490279159510,1490279159663
4,4,1,1,7,3,1490279159509,1490279159510,1490279159663
4,4,1,2,7,2,1490279159509,1490279159510,1490279159663
4,4,1,3,7,1,1490279159510,1490279159511,1490279159663
4,4,1,2,7,0,1490279159511,1490279159511,1490279159664
4,4,1,3,7,2,1490279159510,1490279159510,1490279159664
4,4,1,2,7,3,1490279159510,1490279159511,1490279159664
4,4,1,3,7,0,1490279159512,1490279159512,1490279159664
4,4,1,3,7,3,1490279159511,1490279159511,1490279159665
4,4,1,0,7,1,1490279159661,1490279159662,1490279159862
4,4,1,1,7,1,1490279159662,1490279159663,1490279159862
4,4,1,2,7,1,1490279159663,1490279159663,1490279159863
4,4,1,0,7,2,1490279159661,1490279159662,1490279159863
4,4,1,0,7,3,1490279159661,1490279159663,1490279159863
4,4,1,3,7,1,1490279159663,1490279159663,1490279159863
4,4,1,0,7,0,1490279159661,1490279159663,1490279159863
4,4,1,1,7,2,1490279159662,1490279159663,1490279159864
4,4,1,1,7,3,1490279159663,1490279159664,1490279159864
4,4,1,1,7,0,1490279159663,1490279159663,1490279159864
4,4,1,2,7,2,1490279159663,1490279159664,1490279159864
4,4,1,2,7,0,1490279159664,1490279159664,1490279159865
4,4,1,2,7,3,1490279159664,1490279159665,1490279159865
4,4,1,3,7,2,1490279159664,1490279159664,1490279159865
4,4,1,3,7,0,1490279159665,1490279159665,1490279159866
4,4,1,3,7,3,1490279159665,1490279159666,1490279159866
4,4,1,0,7,1,1490279159862,1490279159862,1490279160071
4,4,1,0,7,3,1490279159863,1490279159864,1490279160071
4,4,1,1,7,1,1490279159862,1490279159863,1490279160072
4,4,1,0,7,0,1490279159863,1490279159864,1490279160072
4,4,1,2,7,1,1490279159863,1490279159863,1490279160072
4,4,1,1,7,3,1490279159864,1490279159865,1490279160073
4,4,1,3,7,1,1490279159863,1490279159863,1490279160073
4,4,1,1,7,0,1490279159864,1490279159865,1490279160073
4,4,1,0,7,2,1490279159863,1490279159863,1490279160073
4,4,1,2,7,3,1490279159865,1490279159866,1490279160074
4,4,1,1,7,2,1490279159864,1490279159864,1490279160074
4,4,1,2,7,0,1490279159865,1490279159865,1490279160074
4,4,1,2,7,2,1490279159864,1490279159865,1490279160075
4,4,1,3,7,3,1490279159866,1490279159867,1490279160075
4,4,1,3,7,2,1490279159865,1490279159866,1490279160075
4,4,1,3,7,0,1490279159866,1490279159866,1490279160075
4,4,1,0,7,1,1490279160071,1490279160072,1490279160273
4,4,1,0,7,2,1490279160073,1490279160074,1490279160273
4,4,1,0,7,0,1490279160072,1490279160073,1490279160273
4,4,1,0,7,3,1490279160071,1490279160072,1490279160273
4,4,1,1,7,1,1490279160072,1490279160072,1490279160274
4,4,1,1,7,2,1490279160074,1490279160074,1490279160274
4,4,1,1,7,0,1490279160073,1490279160074,1490279160274
4,4,1,2,7,1,1490279160072,1490279160073,1490279160274
4,4,1,1,7,3,1490279160073,1490279160073,1490279160274
4,4,1,2,7,2,1490279160075,1490279160075,1490279160274
4,4,1,3,7,1,1490279160073,1490279160073,1490279160275
4,4,1,2,7,0,1490279160074,1490279160075,1490279160275
4,4,1,3,7,2,1490279160075,1490279160076,1490279160275
4,4,1,2,7,3,1490279160074,1490279160075,1490279160275
4,4,1,3,7,0,1490279160075,1490279160076,1490279160275
4,4,1,3,7,3,1490279160075,1490279160076,1490279160276
4,4,1,0,7,1,1490279160273,1490279160273,1490279160480
4,4,1,0,7,0,1490279160273,1490279160274,1490279160481
4,4,1,0,7,3,1490279160273,1490279160274,1490279160481
4,4,1,1,7,1,1490279160274,1490279160274,1490279160482
4,4,1,0,7,2,1490279160273,1490279160274,1490279160482
4,4,1,2,7,1,1490279160274,1490279160274,1490279160483
4,4,1,1,7,0,1490279160274,1490279160274,1490279160483
4,4,1,3,7,1,1490279160275,1490279160275,1490279160483
4,4,1,1,7,3,1490279160274,1490279160275,1490279160483
4,4,1,1,7,2,1490279160274,1490279160274,1490279160483
4,4,1,2,7,0,1490279160275,1490279160275,1490279160484
4,4,1,2,7,3,1490279160275,1490279160275,1490279160484
4,4,1,2,7,2,1490279160274,1490279160275,1490279160484
4,4,1,3,7,3,1490279160276,1490279160276,1490279160484
4,4,1,3,7,0,1490279160275,1490279160276,1490279160485
4,4,1,3,7,2,1490279160275,1490279160275,1490279160485
4,4,1,0,7,1,1490279160481,1490279160481,1490279160686
4,4,1,0,7,0,1490279160481,1490279160482,1490279160687
4,4,1,0,7,3,1490279160481,1490279160483,1490279160687
4,4,1,0,7,2,1490279160482,1490279160483,1490279160688
4,4,1,1,7,1,1490279160482,1490279160482,1490279160688
4,4,1,1,7,3,1490279160483,1490279160484,1490279160688
4,4,1,1,7,0,1490279160483,1490279160483,1490279160688
4,4,1,2,7,1,1490279160483,1490279160483,1490279160688
4,4,1,1,7,2,1490279160483,1490279160484,1490279160688
4,4,1,3,7,1,1490279160483,1490279160483,1490279160689
4,4,1,2,7,0,1490279160484,1490279160484,1490279160689
4,4,1,2,7,2,1490279160484,1490279160484,1490279160689
4,4,1,2,7,3,1490279160484,1490279160484,1490279160689
4,4,1,3,7,3,1490279160484,1490279160485,1490279160690
4,4,1,3,7,2,1490279160485,1490279160485,1490279160690
4,4,1,3,7,0,1490279160485,1490279160485,1490279160690
4,4,1,0,7,0,1490279160687,1490279160688,1490279160891
4,4,1,0,7,1,1490279160687,1490279160687,1490279160891
4,4,1,0,7,3,1490279160687,1490279160688,1490279160892
4,4,1,1,7,1,1490279160688,1490279160688,1490279160892
4,4,1,2,7,1,1490279160688,1490279160688,1490279160892
4,4,1,1,7,0,1490279160688,1490279160689,1490279160892
4,4,1,1,7,3,1490279160688,1490279160689,1490279160893
4,4,1,3,7,1,1490279160689,1490279160689,1490279160893
4,4,1,0,7,2,1490279160688,1490279160688,1490279160893
4,4,1,2,7,0,1490279160689,1490279160690,1490279160893
4,4,1,2,7,3,1490279160689,1490279160689,1490279160893
4,4,1,1,7,2,1490279160688,1490279160689,1490279160893
4,4,1,3,7,3,1490279160690,1490279160690,1490279160894
4,4,1,2,7,2,1490279160689,1490279160689,1490279160894
4,4,1,3,7,0,1490279160690,1490279160690,1490279160894
4,4,1,3,7,2,1490279160690,1490279160690,1490279160894
4,4,1,0,7,1,1490279160891,1490279160892,1490279160997
4,4,1,0,7,3,1490279160892,1490279160893,1490279160997
4,4,1,1,7,1,1490279160892,1490279160892,1490279160997
4,4,1,0,7,0,1490279160891,1490279160892,1490279160997
4,4,1,2,7,1,1490279160892,1490279160893,1490279160997
4,4,1,0,7,2,1490279160893,1490279160893,1490279160997
4,4,1,1,7,3,1490279160893,1490279160893,1490279160998
4,4,1,1,7,0,1490279160892,1490279160893,1490279160998
4,4,1,1,7,2,1490279160893,1490279160894,1490279160998
4,4,1,2,7,3,1490279160893,1490279160894,1490279160998
4,4,1,2,7,2,1490279160894,1490279160894,1490279160999
4,4,1,2,7,0,1490279160893,1490279160894,1490279160999
4,4,1,3,7,1,1490279160893,1490279160893,1490279161099
4,4,1,3,7,2,1490279160894,1490279160894,1490279161099
4,4,1,3,7,0,1490279160894,1490279160894,1490279161099
4,4,1,3,7,3,1490279160894,1490279160894,1490279161100
4,4,1,0,7,1,1490279160997,1490279160997,1490279161100
