num_Windows,parallelism,win_Size,ctxid,step,operatorID,instanceID,window_Start,local_End,window_End
3,20,42,0,1,7,17,1490885327832,1490885327935,1490885328434
3,20,42,0,1,7,16,1490885327832,1490885327951,1490885328435
3,20,42,0,1,7,18,1490885327832,1490885327940,1490885328435
3,20,42,0,1,7,14,1490885327837,1490885327891,1490885328440
3,20,42,0,1,7,19,1490885327832,1490885328025,1490885328437
3,20,42,0,1,7,15,1490885327839,1490885327925,1490885328440
3,20,42,0,1,7,5,1490885327837,1490885327903,1490885328439
3,20,42,0,1,7,12,1490885327839,1490885327921,1490885328440
3,20,42,0,1,7,4,1490885327838,1490885327928,1490885328439
3,20,42,0,1,7,13,1490885327837,1490885327924,1490885328440
3,20,42,0,1,7,7,1490885327837,1490885327911,1490885328439
3,20,42,0,1,7,11,1490885327839,1490885327887,1490885328440
3,20,42,0,1,7,1,1490885327842,1490885327906,1490885328444
3,20,42,0,1,7,8,1490885327839,1490885327950,1490885328440
3,20,42,0,1,7,0,1490885327843,1490885327968,1490885328444
3,20,42,0,1,7,9,1490885327839,1490885327927,1490885328440
3,20,42,0,1,7,2,1490885327843,1490885327935,1490885328444
3,20,42,0,1,7,3,1490885327842,1490885327904,1490885328444
3,20,42,0,1,7,10,1490885327839,1490885327975,1490885328440
3,20,42,0,1,7,6,1490885327837,1490885327897,1490885328450
3,20,42,2,1,7,17,1490885327936,1490885328201,1490885329231
3,20,42,2,1,7,19,1490885328026,1490885328215,1490885329231
3,20,42,1,1,7,16,1490885328173,1490885328278,1490885329232
3,20,42,2,1,7,18,1490885328173,1490885328274,1490885329237
3,20,42,1,1,7,6,1490885327994,1490885328062,1490885329247
3,20,42,2,1,7,5,1490885327904,1490885328045,1490885329247
3,20,42,1,1,7,7,1490885328003,1490885328069,1490885329248
3,20,42,1,1,7,4,1490885328039,1490885328087,1490885329248
3,20,42,2,1,7,11,1490885327973,1490885328070,1490885329247
3,20,42,1,1,7,9,1490885327928,1490885328030,1490885329248
3,20,42,2,1,7,10,1490885328094,1490885328146,1490885329249
3,20,42,2,1,7,8,1490885328089,1490885328144,1490885329254
3,20,42,1,1,7,2,1490885327935,1490885328020,1490885329255
3,20,42,1,1,7,3,1490885327906,1490885327992,1490885329256
3,20,42,2,1,7,0,1490885327968,1490885328052,1490885329256
3,20,42,2,1,7,1,1490885328002,1490885328057,1490885329256
3,20,42,2,1,7,13,1490885327925,1490885327976,1490885329252
3,20,42,1,1,7,14,1490885327893,1490885327958,1490885329253
3,20,42,2,1,7,12,1490885327921,1490885327997,1490885329253
3,20,42,1,1,7,15,1490885328020,1490885328066,1490885329253
3,20,42,2,1,7,9,1490885328030,1490885328132,1490885329273
3,20,42,1,1,7,8,1490885327950,1490885328089,1490885329281
3,20,42,1,1,7,11,1490885327889,1490885327972,1490885329286
3,20,42,1,1,7,0,1490885328065,1490885328092,1490885329291
3,20,42,2,1,7,3,1490885327992,1490885328036,1490885329296
3,20,42,2,1,7,15,1490885327927,1490885328020,1490885329297
3,20,42,2,1,7,14,1490885327958,1490885328004,1490885329307
3,20,42,1,1,7,13,1490885327977,1490885328031,1490885329310
3,20,42,1,1,7,12,1490885327998,1490885328046,1490885329312
3,20,42,2,1,7,16,1490885327952,1490885328173,1490885329316
3,20,42,1,1,7,17,1490885328201,1490885328296,1490885329331
3,20,42,2,1,7,6,1490885327898,1490885327994,1490885329324
3,20,42,2,1,7,7,1490885327911,1490885328003,1490885329325
3,20,42,2,1,7,4,1490885327928,1490885328039,1490885329336
3,20,42,2,1,7,2,1490885328020,1490885328067,1490885329334
3,20,42,1,1,7,1,1490885327912,1490885328001,1490885329337
3,20,42,1,1,7,19,1490885328215,1490885328308,1490885329335
3,20,42,1,1,7,10,1490885327976,1490885328094,1490885329346
3,20,42,1,1,7,18,1490885327940,1490885328173,1490885329364
3,20,42,1,1,7,5,1490885328045,1490885328085,1490885329391
3,20,42,0,2,7,11,1490885328442,1490885328743,1490885330837
3,20,42,0,2,7,8,1490885328440,1490885328747,1490885330837
3,20,42,0,2,7,9,1490885328443,1490885328760,1490885330850
3,20,42,0,2,7,10,1490885328440,1490885328799,1490885330850
3,20,42,0,2,7,17,1490885328436,1490885328990,1490885330856
3,20,42,0,2,7,19,1490885328437,1490885329014,1490885330856
3,20,42,0,2,7,18,1490885328436,1490885329049,1490885330856
3,20,42,0,2,7,6,1490885328450,1490885328659,1490885330858
3,20,42,0,2,7,4,1490885328439,1490885328674,1490885330858
3,20,42,0,2,7,7,1490885328440,1490885328678,1490885330858
3,20,42,0,2,7,13,1490885328440,1490885328538,1490885330854
3,20,42,0,2,7,15,1490885328440,1490885328551,1490885330854
3,20,42,0,2,7,12,1490885328440,1490885328571,1490885330854
3,20,42,0,2,7,16,1490885328436,1490885328939,1490885330856
3,20,42,0,2,7,14,1490885328443,1490885328551,1490885330861
3,20,42,0,2,7,5,1490885328442,1490885328831,1490885330862
3,20,42,0,2,7,3,1490885328469,1490885328746,1490885330868
3,20,42,0,2,7,0,1490885328444,1490885328748,1490885330868
3,20,42,0,2,7,1,1490885328469,1490885328759,1490885330868
3,20,42,0,2,7,2,1490885328444,1490885328764,1490885330871
3,20,42,1,2,7,6,1490885329248,1490885329324,1490885332641
3,20,42,2,2,7,13,1490885329252,1490885329309,1490885332645
3,20,42,2,2,7,4,1490885329336,1490885329375,1490885332641
3,20,42,1,2,7,7,1490885329248,1490885329324,1490885332642
3,20,42,2,2,7,14,1490885329307,1490885329356,1490885332645
3,20,42,2,2,7,5,1490885329248,1490885329391,1490885332642
3,20,42,2,2,7,9,1490885329273,1490885329329,1490885332646
3,20,42,1,2,7,2,1490885329255,1490885329334,1490885332650
3,20,42,2,2,7,10,1490885329249,1490885329346,1490885332646
3,20,42,1,2,7,0,1490885329291,1490885329327,1490885332650
3,20,42,1,2,7,19,1490885329335,1490885329491,1490885332646
3,20,42,1,2,7,12,1490885329312,1490885329372,1490885332647
3,20,42,1,2,7,15,1490885329253,1490885329297,1490885332647
3,20,42,1,2,7,16,1490885329232,1490885329315,1490885332646
3,20,42,2,2,7,18,1490885329238,1490885329362,1490885332647
3,20,42,1,2,7,11,1490885329286,1490885329328,1490885332647
3,20,42,2,2,7,8,1490885329254,1490885329281,1490885332647
3,20,42,2,2,7,17,1490885329232,1490885329326,1490885332650
3,20,42,2,2,7,1,1490885329256,1490885329331,1490885332654
3,20,42,2,2,7,3,1490885329296,1490885329351,1490885332654
3,20,42,2,2,7,11,1490885329248,1490885329276,1490885332666
3,20,42,2,2,7,0,1490885329256,1490885329291,1490885332678
3,20,42,2,2,7,16,1490885329317,1490885329429,1490885332681
3,20,42,2,2,7,6,1490885329325,1490885329364,1490885332680
3,20,42,1,2,7,14,1490885329253,1490885329306,1490885332688
3,20,42,1,2,7,1,1490885329337,1490885329428,1490885332692
3,20,42,1,2,7,17,1490885329331,1490885329398,1490885332691
3,20,42,1,2,7,3,1490885329256,1490885329295,1490885332699
3,20,42,1,2,7,13,1490885329310,1490885329363,1490885332691
3,20,42,1,2,7,8,1490885329281,1490885329320,1490885332698
3,20,42,2,2,7,7,1490885329325,1490885329365,1490885332708
3,20,42,1,2,7,4,1490885329248,1490885329336,1490885332710
3,20,42,2,2,7,15,1490885329297,1490885329337,1490885332703
3,20,42,2,2,7,12,1490885329254,1490885329312,1490885332720
3,20,42,1,2,7,5,1490885329391,1490885329480,1490885332729
3,20,42,1,2,7,9,1490885329248,1490885329273,1490885332733
3,20,42,1,2,7,10,1490885329347,1490885329443,1490885332776
3,20,42,2,2,7,2,1490885329334,1490885329405,1490885332771
3,20,42,1,2,7,18,1490885329365,1490885329421,1490885332893
3,20,42,2,2,7,19,1490885329232,1490885329328,1490885332898
